date,open,high,low,close,volume,turnover
2023-01-01,10.7549,10.7685,10.7534,10.7440,4150981,44598096.47
2023-01-02,8.5850,8.7446,8.4690,8.5890,6605322,56732794.08
2023-01-03,8.6978,8.7532,8.5952,8.6874,6688365,58104641.02
2023-01-04,6.6820,6.6832,6.6118,6.7145,9418320,63239683.10
2023-01-05,8.1814,8.2479,8.0585,8.1930,3228184,26448554.60
2023-01-06,7.2124,7.2645,7.1814,7.2316,1918901,13876811.20
2023-01-07,6.2051,6.3076,6.1053,6.2248,1174644,7311926.36
2023-01-08,6.9779,6.9997,6.9642,7.0058,9576923,67093902.53
2023-01-09,7.6279,7.6307,7.6140,7.6426,1311021,10019564.66
2023-01-10,6.7695,6.7784,6.6532,6.7678,9332496,63160270.06
2023-01-11,7.7172,7.7910,7.5998,7.6897,1287828,9902997.29
2023-01-12,8.3809,8.4188,8.2265,8.3843,6477018,54305115.60
2023-01-13,7.6337,7.7715,7.4952,7.6296,3124163,23836208.95
2023-01-14,7.6568,7.6910,7.6495,7.6375,3520956,26891405.06
2023-01-15,8.5416,8.5875,8.3752,8.5007,6274110,53334311.44
2023-01-16,6.4353,6.5278,6.3717,6.4357,7554549,48618910.84
2023-01-17,7.3005,7.4105,7.1867,7.2755,5687391,41378642.93
2023-01-18,8.9187,9.0746,8.7513,8.8782,2502064,22213720.79
2023-01-19,9.8606,9.9692,9.6961,9.8573,4892763,48229305.80
2023-01-20,9.8423,9.8804,9.7996,9.8318,8070348,79345747.07
